,emoji,degree
0,‼️,23
1,⁉️,1
2,™,1
3,↙️,9
4,⏰,1
5,⏳,4
6,⏺,3
7,Ⓜ️,1
8,▶️,3
9,◀️,1
10,☝,2
11,☝️,1
12,☠️,6
13,☮️,1
14,☹️,3
15,☺️,2
16,♥️,5
17,⚖️,1
18,⚠️,10
19,⚡️,22
20,⚾️,1
21,✅,47
22,✊,17
23,✊️,86
24,✊🏻,49
25,✊🏼,36
26,✊🏽,48
27,✊🏾,71
28,✊🏿,55
29,✌️,6
30,✌🏻,1
31,✌🏽,2
32,✍🏽,1
33,✔️,7
34,✝️,418
35,❄️,12
36,❌,19
37,❗,2
38,❗️,1
39,❤,2
40,❤️,84
41,➡️,9
42,⤵️,109
43,⬇️,14
44,⭐,5
45,🅰️,4
46,🇱,2
47,🇲,1
48,🇷,4
49,🇸,121
50,🇺,123
51,🇽,1
52,🌈,459
53,🌊,1
54,🌞,1
55,🌮,1
56,🌳,3
57,🍀,1
58,🍎,1
59,🍻,2
60,🍿,6
61,🎓,4
62,🎙️,1
63,🎥,14
64,🎧,1
65,🎩,1
66,🎵,2
67,🎶,14
68,🎺,1
69,🏀,20
70,🏃‍♂️,1
71,🏃🏽‍♀️,2
72,🏆,1
73,🏈,4
74,🏉,12
75,🏋🏾,9
76,🏗,1
77,🏴,5
78,🐂,1
79,🐏,4
80,🐐,1
81,🐖,6
82,🐘,1
83,🐚,1
84,🐢,16
85,👀,67
86,👁️,24
87,👂,2
88,👆,3
89,👇,203
90,👇🏻,45
91,👇🏼,29
92,👇🏽,2
93,👇🏿,2
94,👈,17
95,👉,15
96,👉🏿,2
97,👊,2
98,👊🏽,4
99,👊🏾,3
100,👋,8
101,👌,7
102,👌🏼,1
103,👍,48
104,👍🏼,4
105,👍🏽,2
106,👍🏾,12
107,👎,2
108,👎🏽,1
109,👏,171
110,👏🏻,1
111,👏🏾,91
112,👠,4
113,👣,2
114,👨🏾‍🎤,7
115,👨🏾‍🏫,7
116,👮,2
117,👮‍♂️,7
118,👹,1
119,👺,1
120,👻,4
121,👿,1
122,💀,6
123,💁‍♀️,1
124,💁🏻‍♀️,2
125,💅🏼,11
126,💎,1
127,💐,29
128,💔,9
129,💕,465
130,💖,289
131,💗,5
132,💙,2
133,💜,22
134,💡,14
135,💥,10
136,💨,4
137,💩,6
138,💪,48
139,💪🏽,1
140,💪🏾,6
141,💬,2
142,💯,31
143,💰,14
144,💲,8
145,📆,2
146,📌,1
147,📎,1
148,📑,7
149,📚,33
150,📝,7
151,📢,1
152,📣,10
153,📰,2
154,📷,48
155,📸,9
156,📹,8
157,📺,1
158,📻,1
159,🔎,1
160,🔜,5
161,🔥,154
162,🔫,2
163,🔰,7
164,🔹,2
165,🔽,2
166,🕚,3
167,🕰,1
168,🕵️‍♀️,1
169,🖕🏼,7
170,🖕🏾,4
171,🖤,31
172,🗑,2
173,🗣,21
174,🗽,4
175,🗿,2
176,😀,1
177,😁,3
178,😂,52
179,😃,1
180,😅,4
181,😆,6
182,😇,9
183,😉,5
184,😊,11
185,😋,7
186,😌,174
187,😍,16
188,😎,16
189,😏,4
190,😐,5
191,😑,4
192,😒,3
193,😓,3
194,😔,3
195,😕,3
196,😘,1
197,😚,3
198,😜,3
199,😞,2
200,😠,1
201,😡,226
202,😢,5
203,😤,2
204,😥,3
205,😧,1
206,😨,1
207,😩,3
208,😬,1
209,😭,17
210,😮,1
211,😰,1
212,😱,3
213,😳,5
214,😵,1
215,😹,5
216,😻,2
217,🙀,3
218,🙂,1
219,🙃,11
220,🙄,19
221,🙅🏿‍♂️,1
222,🙈,2
223,🙌,8
224,🙌🏻,1
225,🙌🏽,18
226,🙏,100
227,🙏🏻,3
228,🙏🏾,2
229,🚁,1
230,🚨,173
231,🚩,18
232,🚫,286
233,🚶‍♂️,1
234,🛐,1
235,🛑,2
236,🤑,46
237,🤒,1
238,🤓,5
239,🤔,500
240,🤖,57
241,🤗,26
242,🤘🏼,1
243,🤛🏾,2
244,🤠,287
245,🤢,2
246,🤣,41
247,🤦‍♀️,2
248,🤦‍♂️,3
249,🤦🏻‍♀️,2
250,🤦🏻‍♂️,1
251,🤦🏼‍♀️,4
252,🤨,2
253,🤩,14
254,🤬,7
255,🤭,2
256,🤯,1
257,🤷,2
258,🤷‍♀️,1
259,🤷‍♂️,5
260,🤷🏻‍♀️,3
261,🤷🏻‍♂️,1
262,🤷🏼‍♀️,1
263,🤷🏽‍♀️,2
264,🤷🏽‍♂️,2
265,🤷🏾‍♂️,4
266,🤸🏾‍♀️,17
267,🤼‍♂️,1
268,🥁,1
269,🦀,1
270,🦅,1
271,🦊,1
272,🦋,7
273,🦗,3
274,🧐,22
275,🧠,7
