,emo1,emo2,weight
0,👉,👈,11
1,🔥,👀,6
2,🔥,🔥,82
3,👀,👀,52
4,👀,🔥,30
5,📰,🔹,2
6,🔹,🔹,1
7,🙅🏿‍♂️,🐏,1
8,🙅🏿‍♂️,👀,1
9,🙅🏿‍♂️,🇺,1
10,🙅🏿‍♂️,🇸,1
11,🐏,👀,1
12,🐏,🇺,1
13,🐏,🇸,1
14,👀,🇺,2
15,👀,🇸,2
16,🇺,🇸,168
17,🖤,🖤,15
18,💀,💀,3
19,🍿,🍿,6
20,🤔,🧐,2
21,👏🏾,👏🏾,56
22,👇,👇,146
23,↙️,↙️,9
24,🙌,✊,2
25,😭,😏,1
26,😭,🕵️‍♀️,1
27,😏,🕵️‍♀️,1
28,🤔,🇺,2
29,🤔,🇸,2
30,📻,🎙️,1
31,📻,🇺,1
32,📻,🇸,1
33,🎙️,🇺,1
34,🎙️,🇸,1
35,🚨,👇,3
36,❤️,✊️,58
37,❤️,🙏,1
38,✊️,🙏,1
39,🅰️,Ⓜ️,1
40,👀,🧐,2
41,🤷‍♂️,🤷‍♂️,6
42,👍,📚,32
43,💔,😭,12
44,💔,💔,4
45,😭,💔,4
46,😭,😭,7
47,✊🏾,✊🏿,47
48,✊🏾,✊🏻,23
49,✊🏿,✊🏻,23
50,⭐,⭐,10
51,😂,😂,38
52,🤔,🤔,6
53,🤔,🖕🏾,12
54,🖕🏾,🖕🏾,2
55,✊🏾,🏀,19
56,✊🏾,✊🏾,1
57,✊🏻,✊🏼,26
58,✊🏻,✊🏽,26
59,✊🏻,✊🏾,26
60,✊🏻,✊🏿,26
61,✊🏼,✊🏽,26
62,✊🏼,✊🏾,27
63,✊🏼,✊🏿,26
64,✊🏽,✊🏾,27
65,✊🏽,✊🏿,26
66,❤️,✊🏾,5
67,❤️,🏀,8
68,❤️,✊🏿,4
69,❤️,✊🏻,4
70,🏀,✊🏿,4
71,🏀,🏀,4
72,🏀,✊🏻,8
73,✊🏿,🏀,4
74,💰,💰,32
75,🎧,😊,1
76,🎧,🎵,1
77,😊,🎵,1
78,❤️,♥️,1
79,❤️,💜,1
80,♥️,💜,1
81,❤️,✊🏽,3
82,🤷🏾‍♂️,🤷🏾‍♂️,2
83,🎥,💡,14
84,🎥,🔰,7
85,🎥,📝,7
86,🎥,👨🏾‍🎤,7
87,🎥,🎶,14
88,🎥,🧠,7
89,🎥,👨🏾‍🏫,7
90,🎥,📑,7
91,🎥,🦋,7
92,🎥,🎥,7
93,💡,🔰,7
94,💡,📝,7
95,💡,👨🏾‍🎤,7
96,💡,🎶,14
97,💡,🧠,7
98,💡,👨🏾‍🏫,7
99,💡,📑,7
100,💡,🦋,7
101,💡,💡,7
102,💡,🎥,14
103,🔰,📝,7
104,🔰,👨🏾‍🎤,7
105,🔰,🎶,14
106,🔰,🧠,7
107,🔰,👨🏾‍🏫,7
108,🔰,📑,7
109,🔰,🦋,7
110,🔰,💡,7
111,🔰,🎥,7
112,📝,👨🏾‍🎤,7
113,📝,🎶,14
114,📝,🧠,7
115,📝,👨🏾‍🏫,7
116,📝,📑,7
117,📝,🦋,7
118,📝,💡,7
119,📝,🎥,7
120,👨🏾‍🎤,🎶,14
121,👨🏾‍🎤,🧠,7
122,👨🏾‍🎤,👨🏾‍🏫,7
123,👨🏾‍🎤,📑,7
124,👨🏾‍🎤,🦋,7
125,👨🏾‍🎤,💡,7
126,👨🏾‍🎤,🎥,7
127,🎶,🧠,7
128,🎶,🎶,7
129,🎶,👨🏾‍🏫,14
130,🎶,📑,14
131,🎶,🦋,14
132,🎶,💡,14
133,🎶,🎥,14
134,🧠,🎶,7
135,🧠,👨🏾‍🏫,7
136,🧠,📑,7
137,🧠,🦋,7
138,🧠,💡,7
139,🧠,🎥,7
140,👨🏾‍🏫,📑,7
