,id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str,place,retweet_count,favorite_count,user_description,user_created_at,user_time_zone,user_geo_enabled,user_protected,user_listed_count,user_verified,user_statuses_count,user_contributors_enabled,user_profile_image_url,user_profile_background_image_url,user_screen_name,user_favourites_count,user_following,possibly_sensitive,Dominant_Topic,Topic_Perc_Contrib,Keywords
35572,1032264398545530880,yourlocalbinch,"RT @indyweek: Local filmmaker Michael Galinksy was there and shot footage of the protest and the toppling of Silent Sam. With his permission, we present Silenced Sam.  https://t.co/y22mV1gdH9
#silentsam https://t.co/drKLVSFuLV",Wed Aug 22 13:53:05 +0000 2018,2018-08-22 14:53:05,,en,,,379405920,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/1009141436921630720/14uKhDJJ_normal.jpg,427.0,429.0,,http://twitter.com/yourlocalbinch/statuses/1032264398545530880,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""indyweek"",""name"":""Indy Week"",""id"":16667591,""id_str"":""16667591"",""indices"":[3,12]}],""urls"":[]}",,17.0,,Im a dumb bitch for aesthetic reasons. Im for sure smarter than u. Don’t get it twisted! Thx (she/her),Sat Sep 24 22:24:03 +0000 2011,,True,,1.0,,15839,,http://pbs.twimg.com/profile_images/1009141436921630720/14uKhDJJ_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,yourlocalbinch,19020.0,,,9.0,0.9700000286102295,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
1802,1092543209283178498,kilometroide,"RT @westland_will: “The first step in liquidating a people is to erase its memory. Destroy its books, its culture, its history.”

#SilentSam #Confederate #UNC https://t.co/r261wXaQuE",Mon Feb 04 21:59:34 +0000 2019,2019-02-04 21:59:34,,es,,,544811331,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/2038708197/yioiyoiyoiyoi_normal.png,492.0,552.0,,http://twitter.com/kilometroide/statuses/1092543209283178498,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""westland_will"",""name"":""Will Westcott"",""id"":920725535818358800,""id_str"":""920725535818358785"",""indices"":[3,17]}],""urls"":[]}",,102.0,,Esta cuenta también es oficial,Wed Apr 04 01:09:03 +0000 2012,,,,,,801,,http://pbs.twimg.com/profile_images/2038708197/yioiyoiyoiyoi_normal.png,http://abs.twimg.com/images/themes/theme1/bg.png,kilometroide,1433.0,,,9.0,0.965399980545044,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
43285,1031888735628132352,indyweek,"Local filmmaker Michael Galinksy was there and shot footage of the protest and the toppling of Silent Sam. With his permission, we present Silenced Sam.  https://t.co/y22mV1gdH9
#silentsam https://t.co/drKLVSFuLV",Tue Aug 21 13:00:20 +0000 2018,2018-08-21 14:00:20,,en,,,16667591,,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>",http://pbs.twimg.com/profile_images/621330467598381056/sgD5i2NI_normal.jpg,72858.0,5471.0,Raleigh Cary Durham ChapelHill,http://twitter.com/indyweek/statuses/1031888735628132352,"{""hashtags"":[{""text"":""silentsam"",""indices"":[178,188]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/y22mV1gdH9"",""expanded_url"":""http://bit.ly/2Prb1cI"",""display_url"":""bit.ly/2Prb1cI"",""indices"":[154,177]}],""media"":[{""id"":1031888731014348800,""id_str"":""1031888731014348800"",""indices"":[189,212],""media_url"":""http://pbs.twimg.com/media/DlIBVWvWwAA50sc.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DlIBVWvWwAA50sc.jpg"",""url"":""https://t.co/drKLVSFuLV"",""display_url"":""pic.twitter.com/drKLVSFuLV"",""expanded_url"":""https://twitter.com/indyweek/status/1031888735628132352/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":620,""h"":349,""resize"":""fit""},""medium"":{""w"":620,""h"":349,""resize"":""fit""},""small"":{""w"":620,""h"":349,""resize"":""fit""}}}]}",,17.0,25.0,"Progressive news, culture & commentary for the Triangle",Thu Oct 09 15:23:53 +0000 2008,,True,,1389.0,,31620,,http://pbs.twimg.com/profile_images/621330467598381056/sgD5i2NI_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,indyweek,2589.0,,,9.0,0.9653000235557556,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
22808,1037988678361128961,MMHemlock,"RT @GiampaoloRossi: #SilentSam, dal 1913 era nel parco della University of North Carolina in ricordo degli studenti sudisti caduti nella Guerra civile. Ora è stato abbattuto dai liberal antirazzisti. Un anno fa spiegammo qs follia iconoclasta che avvicina sinistra e islamisti
https://t.co/O45g0f0hfG https://t.co/Cmw7s3DUA5",Fri Sep 07 08:59:20 +0000 2018,2018-09-07 09:59:20,,it,,,13728662,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/689520623387832321/izvAphFK_normal.jpg,3024.0,4807.0,"ÜT: 43.699918,10.393938",http://twitter.com/MMHemlock/statuses/1037988678361128961,"{""hashtags"":[{""text"":""SilentSam"",""indices"":[20,30]}],""symbols"":[],""user_mentions"":[{""screen_name"":""GiampaoloRossi"",""name"":""Giampaolo Rossi"",""id"":370407019,""id_str"":""370407019"",""indices"":[3,18]}],""urls"":[]}",,84.0,,"🇮🇹Listen,Learn,MakeInformedChoicesHelp,ToChangeThings&passThe favor https://t.co/oPWLFLfu9d https://t.co/JzXV3IiRWm https://t.co/4n4WslT0GV",Wed Feb 20 16:57:38 +0000 2008,,,,144.0,,140822,,http://pbs.twimg.com/profile_images/689520623387832321/izvAphFK_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,MMHemlock,199511.0,,,9.0,0.9505000114440918,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
46349,1031766972206206976,westland_will,"“The first step in liquidating a people is to erase its memory. Destroy its books, its culture, its history.”

#SilentSam #Confederate #UNC https://t.co/r261wXaQuE",Tue Aug 21 04:56:30 +0000 2018,2018-08-21 05:56:30,,en,,,920725535818358785,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/993012198250242048/hOfCE0Oj_normal.jpg,15879.0,952.0,,http://twitter.com/westland_will/statuses/1031766972206206976,"{""hashtags"":[{""text"":""SilentSam"",""indices"":[111,121]},{""text"":""Confederate"",""indices"":[122,134]},{""text"":""UNC"",""indices"":[135,139]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1031766967491776500,""id_str"":""1031766967491776512"",""indices"":[140,163],""media_url"":""http://pbs.twimg.com/media/DlGSlyRUUAA9HYA.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DlGSlyRUUAA9HYA.jpg"",""url"":""https://t.co/r261wXaQuE"",""display_url"":""pic.twitter.com/r261wXaQuE"",""expanded_url"":""https://twitter.com/westland_will/status/1031766972206206976/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":1200,""h"":788,""resize"":""fit""},""large"":{""w"":1200,""h"":788,""resize"":""fit""},""small"":{""w"":680,""h"":447,""resize"":""fit""}}}]}",,102.0,197.0,"For what is our fight and our martyrdom, shall one day be the resurrection.",Wed Oct 18 18:57:28 +0000 2017,,,,133.0,,13258,,http://pbs.twimg.com/profile_images/993012198250242048/hOfCE0Oj_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,westland_will,36514.0,,,9.0,0.949999988079071,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
40633,1031956730811490304,GiampaoloRossi,"#SilentSam, dal 1913 era nel parco della University of North Carolina in ricordo degli studenti sudisti caduti nella Guerra civile. Ora è stato abbattuto dai liberal antirazzisti. Un anno fa spiegammo qs follia iconoclasta che avvicina sinistra e islamisti
https://t.co/O45g0f0hfG https://t.co/Cmw7s3DUA5",Tue Aug 21 17:30:32 +0000 2018,2018-08-21 18:30:32,,it,,,370407019,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/944280460435361792/v-3Aavq4_normal.jpg,7475.0,395.0,,http://twitter.com/GiampaoloRossi/statuses/1031956730811490304,"{""hashtags"":[{""text"":""SilentSam"",""indices"":[0,10]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/O45g0f0hfG"",""expanded_url"":""http://blog.ilgiornale.it/rossi/2017/08/16/lultimo-sudista-e-lamerica-di-fine-stagione/"",""display_url"":""blog.ilgiornale.it/rossi/2017/08/…"",""indices"":[257,280]}],""media"":[{""id"":1031953963346796500,""id_str"":""1031953963346796544"",""indices"":[281,304],""media_url"":""http://pbs.twimg.com/media/DlI8qYHXoAA1DYc.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DlI8qYHXoAA1DYc.jpg"",""url"":""https://t.co/Cmw7s3DUA5"",""display_url"":""pic.twitter.com/Cmw7s3DUA5"",""expanded_url"":""https://twitter.com/GiampaoloRossi/status/1031956730811490304/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":1024,""h"":677,""resize"":""fit""},""medium"":{""w"":1024,""h"":677,""resize"":""fit""},""small"":{""w"":680,""h"":450,""resize"":""fit""}}}]}",,84.0,119.0,"""Io sono Anarca non perché disprezzi l'autorità ma perché ne ho bisogno. Così come non sono un miscredente, ma uno che esige cose degne di fede"" (Ernst Jünger)",Thu Sep 08 23:56:12 +0000 2011,,,,75.0,,6504,,http://pbs.twimg.com/profile_images/944280460435361792/v-3Aavq4_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,GiampaoloRossi,1965.0,,,9.0,0.9491999745368958,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
13748,1069763247941869568,WRALCandace,Students now marching to base where #SilentSam once stood. https://t.co/7hdSikBIJ9,Tue Dec 04 01:20:08 +0000 2018,2018-12-04 01:20:08,,en,2746403616.0,WRALCandace,2746403616,1.0697478830737695e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1030700696985894912/bgRrtPHX_normal.jpg,2526.0,1113.0,"Raleigh, NC",http://twitter.com/WRALCandace/statuses/1069763247941869568,"{""hashtags"":[{""text"":""SilentSam"",""indices"":[36,46]}],""symbols"":[],""user_mentions"":[],""urls"":[],""media"":[{""id"":1069763129167528000,""id_str"":""1069763129167527936"",""indices"":[59,82],""media_url"":""http://pbs.twimg.com/ext_tw_video_thumb/1069763129167527936/pu/img/Cvunha1KanMU9Uy_.jpg"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1069763129167527936/pu/img/Cvunha1KanMU9Uy_.jpg"",""url"":""https://t.co/7hdSikBIJ9"",""display_url"":""pic.twitter.com/7hdSikBIJ9"",""expanded_url"":""https://twitter.com/WRALCandace/status/1069763247941869568/video/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":1200,""h"":675,""resize"":""fit""},""small"":{""w"":680,""h"":383,""resize"":""fit""},""large"":{""w"":1280,""h"":720,""resize"":""fit""}}}]}",,52.0,101.0,Reporter. Believer. Adventurer. Lone Star state of mind. Wannabe runner and green-thumber. GREAT-granddaughter of Lucy and Mabel (pictured above),Tue Aug 19 20:01:06 +0000 2014,,True,,79.0,,4596,,http://pbs.twimg.com/profile_images/1030700696985894912/bgRrtPHX_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,WRALCandace,4497.0,,,9.0,0.9302999973297119,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
34627,1032362120875261952,alygrace01,"RT @indyweek: ICYMI: Local filmmaker Michael Galinksy was there and shot footage of the protest and the toppling of Silent Sam. With his permission, we present Silenced Sam.  https://t.co/7xUgEgxmd0
#silentsam https://t.co/hbOhOvZNJE",Wed Aug 22 20:21:24 +0000 2018,2018-08-22 21:21:24,,en,,,4056837605,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1093983621210349569/e5jFzQI9_normal.jpg,460.0,634.0,,http://twitter.com/alygrace01/statuses/1032362120875261952,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""indyweek"",""name"":""Indy Week"",""id"":16667591,""id_str"":""16667591"",""indices"":[3,12]}],""urls"":[]}",,24.0,,Daughter of the king || pcva || unc21,Tue Oct 27 23:50:08 +0000 2015,,True,,2.0,,2325,,http://pbs.twimg.com/profile_images/1093983621210349569/e5jFzQI9_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,alygrace01,27411.0,,,9.0,0.9296000003814697,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
36441,1032117311270993920,indyweek,"ICYMI: Local filmmaker Michael Galinksy was there and shot footage of the protest and the toppling of Silent Sam. With his permission, we present Silenced Sam.  https://t.co/7xUgEgxmd0
#silentsam https://t.co/hbOhOvZNJE",Wed Aug 22 04:08:37 +0000 2018,2018-08-22 05:08:37,,en,,,16667591,,"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox Social</a>",http://pbs.twimg.com/profile_images/621330467598381056/sgD5i2NI_normal.jpg,72858.0,5471.0,Raleigh Cary Durham ChapelHill,http://twitter.com/indyweek/statuses/1032117311270993920,"{""hashtags"":[{""text"":""silentsam"",""indices"":[185,195]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/7xUgEgxmd0"",""expanded_url"":""http://bit.ly/2OWctT7"",""display_url"":""bit.ly/2OWctT7"",""indices"":[161,184]}],""media"":[{""id"":1032117307978534900,""id_str"":""1032117307978534912"",""indices"":[196,219],""media_url"":""http://pbs.twimg.com/media/DlLROSSX0AA_IdD.jpg"",""media_url_https"":""https://pbs.twimg.com/media/DlLROSSX0AA_IdD.jpg"",""url"":""https://t.co/hbOhOvZNJE"",""display_url"":""pic.twitter.com/hbOhOvZNJE"",""expanded_url"":""https://twitter.com/indyweek/status/1032117311270993920/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""large"":{""w"":620,""h"":349,""resize"":""fit""},""medium"":{""w"":620,""h"":349,""resize"":""fit""},""small"":{""w"":620,""h"":349,""resize"":""fit""}}}]}",,24.0,31.0,"Progressive news, culture & commentary for the Triangle",Thu Oct 09 15:23:53 +0000 2008,,True,,1389.0,,31620,,http://pbs.twimg.com/profile_images/621330467598381056/sgD5i2NI_normal.jpg,http://abs.twimg.com/images/themes/theme9/bg.gif,indyweek,2589.0,,,9.0,0.9171000123023987,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
11271,1070646037428256770,angacknowledged,RT @WRALCandace: Students now marching to base where #SilentSam once stood. https://t.co/7hdSikBIJ9,Thu Dec 06 11:48:01 +0000 2018,2018-12-06 11:48:01,,en,,,795305556747632641,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1060047206458294272/rVewVSM5_normal.jpg,74.0,137.0,U.S. w/ all 4 Seasons,http://twitter.com/angacknowledged/statuses/1070646037428256770,"{""hashtags"":[{""text"":""SilentSam"",""indices"":[53,63]}],""symbols"":[],""user_mentions"":[{""screen_name"":""WRALCandace"",""name"":""Candace Sweat"",""id"":2746403616,""id_str"":""2746403616"",""indices"":[3,15]}],""urls"":[],""media"":[{""id"":1069763129167528000,""id_str"":""1069763129167527936"",""indices"":[76,99],""media_url"":""http://pbs.twimg.com/ext_tw_video_thumb/1069763129167527936/pu/img/Cvunha1KanMU9Uy_.jpg"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1069763129167527936/pu/img/Cvunha1KanMU9Uy_.jpg"",""url"":""https://t.co/7hdSikBIJ9"",""display_url"":""pic.twitter.com/7hdSikBIJ9"",""expanded_url"":""https://twitter.com/WRALCandace/status/1069763247941869568/video/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":1200,""h"":675,""resize"":""fit""},""small"":{""w"":680,""h"":383,""resize"":""fit""},""large"":{""w"":1280,""h"":720,""resize"":""fit""}},""source_status_id"":1069763247941869600,""source_status_id_str"":""1069763247941869568"",""source_user_id"":2746403616,""source_user_id_str"":""2746403616""}]}",,52.0,,"Human Being. Proud of My Blac'American Culture & Legacy. I collect my ancestoral HIStory & HERitage to share it thru, art, written/spoken word & reenactment",Sun Nov 06 16:43:15 +0000 2016,,,,4.0,,2669,,http://pbs.twimg.com/profile_images/1060047206458294272/rVewVSM5_normal.jpg,http://abs.twimg.com/images/themes/theme1/bg.png,angacknowledged,4749.0,,,9.0,0.8596000075340271,"north_carolina, redtraccoon_silent, carolina, north, been_torn, quad_this, prominent_figure, alumnus_university, major_uproar, going_cause"
